title,url_slug,repair_num,date,item,brand,problem,solution,cost_new,cost_of_fix,age,success,venue,related_images,description
Hand(le) off my guitar! ,guitar_case,40,06-2024,Guitar Case,Generic,Handle came off,Braided steel wire with rivets,£60,20p,15 yrs,Yes,Sparks Repair Cafe,/images/repair_cafe/guitar_case/guitar_case_1.jpg,"Somebody brought in a guitar case that the handle came off, that they were having issues trying to reattach. We agreed that a good solution that would still allow the handle to 'swing' would be to thread braided steel wire and rivet the wire in place through the body. This involved peeling back the fabric lining to expose the mounting holes, then feeding the wire through and then riveting the pieces in place in the hole. Definitely not going anywhere, so a safe guitar!"""
PARTY ,neon_light,41,06-2024,Neon lamp,Generic,Won't turn on,Replace transistor,£40,60p,3yrs,Yes,Sparks Repair Cafe,/images/repair_cafe/neon_light/neon_light_1.jpg /images/repair_cafe/neon_light/neon_light_2.jpg,"Annoyingly I don't have a photo of the original transistor that met a grisly end. Neon party light that had the transistor that exploded dramatically. Was a nice and easy fix to get one from our generic parts drawer, and solder it in and works like new!"
Lamp ,lamp,42,04-2024,Lamp Connection,Generic,Not turning on,Re-solder connections,£20,0p,1yr,Yes,Sparks Repair Cafe,/images/repair_cafe/lamp/lamp_1.jpg,"Nice and easy fix, disassemble and re-solder wire that had snapped!"
Gunky bearing ,orbital_sander,43,04-2024,Sander,Bosch,Wouldn't spin,Clean main bearing,£75,0p,3yrs,Yes,Sparks Repair Cafe,/images/repair_cafe/orbital_sander/sander_1.jpg /images/repair_cafe/orbital_sander/sander_2.jpg ,"The main bearing for the rotor had siezed up from too much dust entering it! Tried to press off the bearing to see if we could replace it, but was not budging. Method instead was to flood the bearing and twist it by hand to crush the dust and muck inside the bearing, and keep flooding it with oil so that the detritus leaked out of the bearing. With enough spinning and oil it ended up clean enough and worked happily. Extended the life a bit more of this sander!"
Torpedo timer (Yes that cool) ,torpedo_timer,44,05-2024,Torpedo Timer,Robert North and Sons,Wouldn't wind up,Forward to watch maker contact,£2450,0p,~75 years,No,Sparks Repair Cafe,/images/repair_cafe/torpedo_timer/torpedo_timer_1.jpg /images/repair_cafe/torpedo_timer/torpedo_timer_2.jpg /images/repair_cafe/torpedo_timer/torpedo_timer_3.jpg /images/repair_cafe/torpedo_timer/torpedo_timer_4.jpg /images/repair_cafe/torpedo_timer/torpedo_timer_5.jpg,"Well this was an incredible first. A torpedo clock timer from the second world war!! Somebody brought this is because they wanted help figuring out why it didn't work, and how to fix it. This was by far the coolest thing to come into the cafe! The issue in the end is that one of the gears for winding up the coil had been damaged and the teeth were stripped off the gearface. We have a volunteer that knows somebody who manufactures custom gears for precisely this kind of application so we passed on their number and wished them the best."
Slow cooker ,slow_cooker,45,03-2024,Automatic Slow Cooker,Unknown,Wouldn't turn on or heat up,Reset thermal fuse,£250,0p,2yrs,Yes	,Sparks Repair Cafe,/images/repair_cafe/slow_cooker/slow_cooker_1.jpg,"This was quite a fun one that I did, as it wasn't working and all and wouldn't turn on. Usually with these things it's a thermal fuse that dies, so checked those, and no issue there. After pondering, and other volunteers pondering I left it for a while. Then another volunteer who took over found that there's a dedicated resettable thermal fuse that you have to press down to reset! This was written nowhere in the manual though!!!!"
Blinds Mechanism,blinds_mechanism	,46,05-2024,Blinds Tilt Mechanism,Unknown,Jammed mechanism,Disassembly and removal,£20,5p,Unknown,Yes,Sparks Repair Cafe,/images/repair_cafe/blinds_mechanism/blinds_mechanism_1.jpg,"Somebody brought in a set of blinds that weren't tilting at the angle anymore. Turns out part of the worm gear that turns it had snapped off and gotten stuck in the screw! Ended up disassembling them in order to remove and re-riveting the mechanism back together"
Magnifier Light,magnifier_light,47,03-2024,Magnifier Light,Unknown,Would not turn on (dead transistor),Replace transistor and board,???,80p,20yrs+,Yes,Sparks Repair Cafe,/images/repair_cafe/magnifier_light/magnifier_light_1.jpg /images/repair_cafe/magnifier_light/magnifier_light_2.jpg,This was something found in the recycling bin that I thought we could use. A DC powered magnifier and light. Opening it up revealed an absolutely catastrophic death of some poor transistor that had turned to DUST!. I removed the board as it had cracked in half as well. Replaced the circuit with something on stripboard to have an adjustable current source to drive the LEDs. It is now used in our cafe to repair other things!
CD Player Tray,cd_player,48,05-2024,CD Player,Denon,CD player would not play,Replace belt and lubricate mechanism,£150,0p,5yrs,Yes,Sparks Repair Cafe,/images/repair_cafe/CD_player/CD_player_1.jpg,"""Customer brought in a CD player that wouldn't play a CD and would just keep sticking. It would open and receive a CD, but then would get stuck on track 1 and never play. Turns out running the mechanism with the shell off revealed that the tilt mechanism to engage the motor wasn't being activated properly. The belt that had the job to activate the mechanism to tilt was just spinning in place and never being activated. Replaced the belt with a suitable one and added some drops of oil on the plastic parts that wipe together and it loads and plays CDs correctly!"""
Coffee Grinder Not Grinding,grinder_motor,49,05-2024,Grinder,Generic,Grinder would not turn on,Re-solder connection,£60,0p,2yrs,Yes,Sparks Repair Cafe,/images/repair_cafe/grinder_motor_1.jpg /images/repair_cafe/grinder_motor_2.jpg,"""Coffee grinder came in that just suddenly stopped working one day. Opening it up didn't make much sense as all the components looked fine. Trying to follow the connections to the motor revealed that one of the terminals of the motor wasn't connected. Upon closer inspection the wire connection had somehow snapped!"""
